,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
B_cells_glandfront_cellfrequency,0.009080699644982815,0.007644491270184517,0.006786139216274023,0.006987206172198057,0.009022734127938747,0.009044083766639233,0.007623970974236727,0.006787927355617285,0.0069871931336820126,0.00902253296226263,0.009044083766639233,0.007623970974236727,0.006787927355617285,0.0069871931336820126,0.00902253296226263
B_cells_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_cells_stromal_cellfrequency,0.19213798642158508,0.19583582878112793,0.1980941742658615,0.1939525008201599,0.15499375760555267,0.19201472401618958,0.1957840472459793,0.19822822511196136,0.1939658522605896,0.15479443967342377,0.19201472401618958,0.1957840472459793,0.19822822511196136,0.1939658522605896,0.15479443967342377
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.005040071438997984,0.004106653854250908,0.00345810828730464,0.0036237044259905815,0.006959416437894106,0.005007368978112936,0.004107354208827019,0.003457765094935894,0.0036234655417501926,0.006958486512303352,0.005007368978112936,0.004107354208827019,0.003457765094935894,0.0036234655417501926,0.006958486512303352
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.010760774835944176,0.009352114051580429,0.008222001604735851,0.00844472274184227,0.016279110684990883,0.0108598992228508,0.009342106990516186,0.00822029635310173,0.008445098996162415,0.016223233193159103,0.0108598992228508,0.009342106990516186,0.00822029635310173,0.008445098996162415,0.016223233193159103
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.03855021297931671,0.033813055604696274,0.030662983655929565,0.030591582879424095,0.04421374574303627,0.03853856399655342,0.03384508565068245,0.030602755025029182,0.030624577775597572,0.0442364402115345,0.03853856399655342,0.03384508565068245,0.030602755025029182,0.030624577775597572,0.0442364402115345
CD8_T_cells_FoxP3+_intragland_cellfrequency,2.6754751161206514e-05,0.0,0.0,0.0,0.0,2.6754751161206514e-05,0.0,0.0,0.0,0.0,2.6754751161206514e-05,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.023685263469815254,0.021469898521900177,0.019979428499937057,0.019558167085051537,0.02143510989844799,0.023780550807714462,0.021566424518823624,0.02001236565411091,0.019557448104023933,0.02140888199210167,0.023780550807714462,0.021566424518823624,0.02001236565411091,0.019557448104023933,0.02140888199210167
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.00821058452129364,0.007660626899451017,0.006616188213229179,0.004035116173326969,9.507787035545334e-05,0.00817687064409256,0.007695402950048447,0.006581682711839676,0.004007285460829735,9.506013157078996e-05,0.00817687064409256,0.007695402950048447,0.006581682711839676,0.004007285460829735,9.506013157078996e-05
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.0130927674472332,0.011932753026485443,0.010535210371017456,0.007040707860141993,0.0006189728155732155,0.013074234127998352,0.011975396424531937,0.010527367703616619,0.00701179401949048,0.000618772697634995,0.013074234127998352,0.011975396424531937,0.010527367703616619,0.00701179401949048,0.000618772697634995
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.22759054601192474,0.2331518828868866,0.22986023128032684,0.2082180678844452,0.1001264676451683,0.22734200954437256,0.23313716053962708,0.22987490892410278,0.2083224505186081,0.10002006590366364,0.22734200954437256,0.23313716053962708,0.22987490892410278,0.2083224505186081,0.10002006590366364
CD8_T_cells_HLA-DR+_intragland_cellfrequency,0.00038631618372164667,0.0001368251396343112,5.920627882005647e-05,5.022970526624704e-06,0.0,0.00038623579894192517,0.0001368251396343112,5.920627882005647e-05,5.022970526624704e-06,0.0,0.00038623579894192517,0.0001368251396343112,5.920627882005647e-05,5.022970526624704e-06,0.0
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.07538628578186035,0.07437187433242798,0.07203374058008194,0.06385574489831924,0.041213709861040115,0.07543942332267761,0.07445038110017776,0.07204733788967133,0.06387452781200409,0.04121420904994011,0.07543942332267761,0.07445038110017776,0.07204733788967133,0.06387452781200409,0.04121420904994011
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.028074216097593307,0.0268856231123209,0.025282245129346848,0.02330509014427662,0.018225109204649925,0.027981333434581757,0.026913966983556747,0.025268232449889183,0.02328425832092762,0.018173126503825188,0.027981333434581757,0.026913966983556747,0.025268232449889183,0.02328425832092762,0.018173126503825188
CD4_T_cells_CD80_CD86+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.010283931158483028,0.008821839466691017,0.008285307325422764,0.005686676595360041,0.001670120283961296,0.010278360918164253,0.008891918696463108,0.008290574885904789,0.005680386908352375,0.0016860462492331862,0.010278360918164253,0.008891918696463108,0.008290574885904789,0.005680386908352375,0.0016860462492331862
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.13129378855228424,0.1183309257030487,0.10965964943170547,0.10639354586601257,0.15431693196296692,0.13134299218654633,0.11836084723472595,0.10966889560222626,0.10646773874759674,0.1542195826768875,0.13134299218654633,0.11836084723472595,0.10966889560222626,0.10646773874759674,0.1542195826768875
CD8_T_cells_CD80_CD86+_intragland_cellfrequency,6.852385558886454e-05,7.19540985301137e-05,4.999513112124987e-05,3.728290903382003e-05,1.943622237376985e-06,6.852972001070157e-05,7.19540985301137e-05,4.999513112124987e-05,3.728290903382003e-05,1.943622237376985e-06,6.852972001070157e-05,7.19540985301137e-05,4.999513112124987e-05,3.728290903382003e-05,1.943622237376985e-06
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.015634499490261078,0.013888143002986908,0.01235328521579504,0.01004026923328638,0.007467863615602255,0.015481640584766865,0.013810532167553902,0.012356466613709927,0.010041034780442715,0.007507420144975185,0.015481640584766865,0.013810532167553902,0.012356466613709927,0.010041034780442715,0.007507420144975185
CD4_T_cells_CD11b+_glandfront_cellfrequency,0.08142112195491791,0.07846338301897049,0.07622458040714264,0.0760408565402031,0.08489742130041122,0.08129187673330307,0.07829909771680832,0.0762367844581604,0.07599595934152603,0.08447656780481339,0.08129187673330307,0.07829909771680832,0.0762367844581604,0.07599595934152603,0.08447656780481339
CD4_T_cells_CD11b+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_CD11b+_stromal_cellfrequency,0.07440508902072906,0.069400854408741,0.0664093941450119,0.0670737698674202,0.09132139384746552,0.0744490697979927,0.06950753927230835,0.06638046354055405,0.06705759465694427,0.09123315662145615,0.0744490697979927,0.06950753927230835,0.06638046354055405,0.06705759465694427,0.09123315662145615
CD8_T_cells_CD11b+_glandfront_cellfrequency,0.005297127179801464,0.003902010153979063,0.0033250502310693264,0.0035103349946439266,0.006747442297637463,0.0053061931394040585,0.003910868428647518,0.0033277389593422413,0.0034951560664922,0.0067448909394443035,0.0053061931394040585,0.003910868428647518,0.0033277389593422413,0.0034951560664922,0.0067448909394443035
CD8_T_cells_CD11b+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_CD11b+_stromal_cellfrequency,0.005478815641254187,0.00436848821118474,0.003788141766563058,0.0037035944405943155,0.005797179415822029,0.005411713849753141,0.004282789304852486,0.0038061831146478653,0.0037064675707370043,0.005791296251118183,0.005411713849753141,0.004282789304852486,0.0038061831146478653,0.0037064675707370043,0.005791296251118183
Stroma_epithelial_stem_glandfront_cellfrequency,0.0018993221456184983,0.0013944931561127305,0.0013157285284250975,0.001196036348119378,0.0017196588451042771,0.001933747436851263,0.001409933203831315,0.0013157189823687077,0.0011925642611458898,0.0017172553343698382,0.001933747436851263,0.001409933203831315,0.0013157189823687077,0.0011925642611458898,0.0017172553343698382
Stroma_epithelial_stem_intragland_cellfrequency,1.138422067015199e-05,9.35204116103705e-06,7.266755346790887e-06,0.0,0.0,1.138422067015199e-05,9.35204116103705e-06,7.266755346790887e-06,0.0,0.0,1.138422067015199e-05,9.35204116103705e-06,7.266755346790887e-06,0.0,0.0
Stroma_epithelial_stem_stromal_cellfrequency,0.0005753964651376009,0.000233165716053918,0.0002657217555679381,0.00022538131452165544,0.00029545844881795347,0.0005754245794378221,0.00023315795988310128,0.0002657202712725848,0.00022535142488777637,0.0002954590891022235,0.0005754245794378221,0.00023315795988310128,0.0002657202712725848,0.00022535142488777637,0.0002954590891022235
Stroma_mesenchymal_glandfront_cellfrequency,0.01068016979843378,0.009448092430830002,0.008388305082917213,0.005667724646627903,0.0008305711671710014,0.010666264221072197,0.009497246704995632,0.008452774956822395,0.0056654042564332485,0.0008305520168505609,0.010666264221072197,0.009497246704995632,0.008452774956822395,0.0056654042564332485,0.0008305520168505609
Stroma_mesenchymal_intragland_cellfrequency,0.011024590581655502,0.010503876954317093,0.009095519781112671,0.005870126653462648,0.00013928614498581737,0.011015974916517735,0.010460864752531052,0.009102706797420979,0.0058526466600596905,0.00013928161934018135,0.011015974916517735,0.010460864752531052,0.009102706797420979,0.0058526466600596905,0.00013928161934018135
Stroma_mesenchymal_stromal_cellfrequency,0.012211890891194344,0.011639074422419071,0.010355941019952297,0.006471881177276373,0.0008755447342991829,0.012247191742062569,0.011594642885029316,0.010410825721919537,0.006478621158748865,0.0008755834423936903,0.012247191742062569,0.011594642885029316,0.010410825721919537,0.006478621158748865,0.0008755834423936903
Stroma_glandular_epithelium_glandfront_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroma_glandular_epithelium_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroma_vascular_endothelium_glandfront_cellfrequency,0.06027013808488846,0.05411043390631676,0.0499248132109642,0.05079476907849312,0.07321590185165405,0.06019720062613487,0.05421186238527298,0.04993021860718727,0.050761155784130096,0.07323984056711197,0.06019720062613487,0.05421186238527298,0.04993021860718727,0.050761155784130096,0.07323984056711197
Stroma_vascular_endothelium_intragland_cellfrequency,2.7977459467365406e-05,2.3088128727977164e-05,1.7681368262856267e-05,2.2382568204193376e-05,0.0,2.7977459467365406e-05,2.3088128727977164e-05,1.7681368262856267e-05,2.2382568204193376e-05,0.0,2.7977459467365406e-05,2.3088128727977164e-05,1.7681368262856267e-05,2.2382568204193376e-05,0.0
Stroma_vascular_endothelium_stromal_cellfrequency,0.021939871832728386,0.019847232848405838,0.01855318807065487,0.0153829175978899,0.012914585880935192,0.022007020190358162,0.01988738775253296,0.018533656373620033,0.015360518358647823,0.012910574674606323,0.022007020190358162,0.01988738775253296,0.018533656373620033,0.015360518358647823,0.012910574674606323
Stroma_fibroblast_glandfront_cellfrequency,0.026923194527626038,0.023525597527623177,0.022526416927576065,0.021034687757492065,0.024444343522191048,0.026901714503765106,0.02353360690176487,0.022595176473259926,0.021015377715229988,0.024352995678782463,0.026901714503765106,0.02353360690176487,0.022595176473259926,0.021015377715229988,0.024352995678782463
Stroma_fibroblast_intragland_cellfrequency,0.0022050149273127317,0.0016619114903733134,0.0014082301640883088,0.000778316636569798,9.626206883694977e-05,0.0023137331008911133,0.0017053106566891074,0.0014077738160267472,0.0007783091277815402,9.626206883694977e-05,0.0023137331008911133,0.0017053106566891074,0.0014077738160267472,0.0007783091277815402,9.626206883694977e-05
Stroma_fibroblast_stromal_cellfrequency,0.011659991927444935,0.01067835371941328,0.01006158534437418,0.008967877365648746,0.008102403953671455,0.011741776019334793,0.010637201368808746,0.010075380094349384,0.008967865258455276,0.00815299991518259,0.011741776019334793,0.010637201368808746,0.010075380094349384,0.008967865258455276,0.00815299991518259
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.010957610793411732,0.009166393429040909,0.008364499546587467,0.007566598244011402,0.007219827733933926,0.011051739566028118,0.009193978272378445,0.00838029570877552,0.007580427918583155,0.007151315920054913,0.011051739566028118,0.009193978272378445,0.00838029570877552,0.007580427918583155,0.007151315920054913
NK_cells_CD56brCD16-_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56brCD16-_stromal_cellfrequency,0.009890477173030376,0.008432958275079727,0.00713014043867588,0.005099794827401638,0.002262804191559553,0.009819244034588337,0.00839917827397585,0.0071698203682899475,0.005115611013025045,0.002293896395713091,0.009819244034588337,0.00839917827397585,0.0071698203682899475,0.005115611013025045,0.002293896395713091
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.027043918147683144,0.026465579867362976,0.025786323472857475,0.023933695629239082,0.01635083369910717,0.027179433032870293,0.0265085157006979,0.025805791839957237,0.02393556386232376,0.0164262093603611,0.027179433032870293,0.0265085157006979,0.025805791839957237,0.02393556386232376,0.0164262093603611
NK_cells_CD56dimCD16+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.08169616758823395,0.07927706092596054,0.07728484272956848,0.07420172542333603,0.06727084517478943,0.08178489655256271,0.07923170924186707,0.07730060815811157,0.07419474422931671,0.06728547066450119,0.08178489655256271,0.07923170924186707,0.07730060815811157,0.07419474422931671,0.06728547066450119
NK_cells_CD56brCD16-NKG2Ahi_glandfront_cellfrequency,0.004361491650342941,0.0036561693996191025,0.0035602229181677103,0.003359825350344181,0.003931976389139891,0.004348989576101303,0.0036558876745402813,0.0035481713712215424,0.0033604775089770555,0.003936424385756254,0.004348989576101303,0.0036558876745402813,0.0035481713712215424,0.0033604775089770555,0.003936424385756254
NK_cells_CD56brCD16-NKG2Ahi_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56brCD16-NKG2Ahi_stromal_cellfrequency,0.005390114150941372,0.0048483689315617085,0.004637082573026419,0.003588533028960228,0.002247281838208437,0.005222049541771412,0.004883101675659418,0.004634950775653124,0.0035884978715330362,0.0022454254794865847,0.005222049541771412,0.004883101675659418,0.004634950775653124,0.0035884978715330362,0.0022454254794865847
NK_cells_CD56brCD16-NKG2AhiTIM3hi_glandfront_cellfrequency,0.010015052743256092,0.008937643840909004,0.007626659236848354,0.007278586737811565,0.00858520157635212,0.010112856514751911,0.00900337751954794,0.0076220277696847916,0.0072781359776854515,0.008628323674201965,0.010112856514751911,0.00900337751954794,0.0076220277696847916,0.0072781359776854515,0.008628323674201965
NK_cells_CD56brCD16-NKG2AhiTIM3hi_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency,0.01498629990965128,0.012777663767337799,0.012064941227436066,0.011793677695095539,0.016254642978310585,0.014903775416314602,0.012814883142709732,0.012084904126822948,0.011796418577432632,0.016392089426517487,0.014903775416314602,0.012814883142709732,0.012084904126822948,0.011796418577432632,0.016392089426517487
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.07210341095924377,0.0680958479642868,0.06559368968009949,0.06410297751426697,0.06746859103441238,0.07198948413133621,0.0680527463555336,0.06551933288574219,0.06413595378398895,0.06758902966976166,0.07198948413133621,0.0680527463555336,0.06551933288574219,0.06413595378398895,0.06758902966976166
NK_cells_CD56brCD16-TIM3hi_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.07878424227237701,0.07855744659900665,0.07695275545120239,0.06948062032461166,0.03735790774226189,0.07865490764379501,0.07848348468542099,0.07700494676828384,0.06943688541650772,0.03732234239578247,0.07865490764379501,0.07848348468542099,0.07700494676828384,0.06943688541650772,0.03732234239578247
NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency,0.04999743029475212,0.04474499076604843,0.040623392909765244,0.039796143770217896,0.05627277493476868,0.05015202984213829,0.04475698247551918,0.04058798402547836,0.039805345237255096,0.05623786896467209,0.05015202984213829,0.04475698247551918,0.04058798402547836,0.039805345237255096,0.05623786896467209
NK_cells_CD56dimCD16+CD9hi_intragland_cellfrequency,0.0007822838961146772,0.0003433154197409749,0.00018327287398278713,0.00014806842955294997,1.4534992260450963e-05,0.0008056865190155804,0.00034288910683244467,0.00018327691941522062,0.00014809444837737828,1.4534992260450963e-05,0.0008056865190155804,0.00034288910683244467,0.00018327691941522062,0.00014809444837737828,1.4534992260450963e-05
NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency,0.01979825459420681,0.018197905272245407,0.015870239585638046,0.013728540390729904,0.01435727160423994,0.019836341962218285,0.018217163160443306,0.015882786363363266,0.013766649179160595,0.014319329522550106,0.019836341962218285,0.018217163160443306,0.015882786363363266,0.013766649179160595,0.014319329522550106
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.025509517639875412,0.023386260494589806,0.02232307940721512,0.021198229864239693,0.019549772143363953,0.025387020781636238,0.023344149813055992,0.022318657487630844,0.021226346492767334,0.019525527954101562,0.025387020781636238,0.023344149813055992,0.022318657487630844,0.021226346492767334,0.019525527954101562
NK_cells_CD56brCD16-CD9hi_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.01695682480931282,0.015230434015393257,0.013905622065067291,0.0110204191878438,0.006215421948581934,0.01689913682639599,0.015222429297864437,0.013903237879276276,0.01102848257869482,0.0062134708277881145,0.01689913682639599,0.015222429297864437,0.013903237879276276,0.01102848257869482,0.0062134708277881145
Macrophages_M1-like_glandfront_cellfrequency,0.02906336821615696,0.026232916861772537,0.02481495961546898,0.02141960896551609,0.016344619914889336,0.028901556506752968,0.02629772014915943,0.02476659044623375,0.021446222439408302,0.0163319930434227,0.028901556506752968,0.02629772014915943,0.02476659044623375,0.021446222439408302,0.0163319930434227
Macrophages_M1-like_intragland_cellfrequency,0.005909381899982691,0.00429881364107132,0.00414258660748601,0.004558728076517582,0.007496633566915989,0.005876415409147739,0.004334648139774799,0.004146198742091656,0.004558627028018236,0.00751567492261529,0.005876415409147739,0.004334648139774799,0.004146198742091656,0.004558627028018236,0.00751567492261529
Macrophages_M1-like_stromal_cellfrequency,0.016801945865154266,0.015036566182971,0.013474488630890846,0.00972636230289936,0.005565395578742027,0.016736505553126335,0.015100176446139812,0.013479756191372871,0.009731831029057503,0.005564249120652676,0.016736505553126335,0.015100176446139812,0.013479756191372871,0.009731831029057503,0.005564249120652676
